Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9617493057250976,0.02964510004967451,0.4891794717311859,0.42915334582328796,17.38578708353913,0.4823029991984367
2,0.78835369348526,0.012355756796896458,0.6075329053401947,0.39778172194957734,17.31984392240313,0.545164304971695
3,0.475083292722702,0.011949796564877033,0.762651207447052,0.22366477578878402,21.262616835512272,0.6399082982540131
4,0.12245693743228912,0.010441998094320297,0.9315016508102417,0.04545007653534412,21.862176328502287,0.6757941907644271
5,0.19380320399999618,0.009168966114521027,0.9260210919380188,0.11895584441721439,22.309749271789766,0.6965558701753616
6,0.13577833823859692,0.008338342439383268,0.930580644607544,0.04881797131150961,21.697489545937483,0.6995084640383721
7,0.14286121893674136,0.00791718102991581,0.9462799561023713,0.10009360255673527,21.19310743294717,0.72462800770998
8,0.22209955297410489,0.0075834297761321065,0.9270052862167358,0.10823090884834528,21.432472007615054,0.7414637318253517
9,0.049795967806130645,0.00788778007030487,0.9713769435882569,0.01717106070369482,18.804810346565503,0.7161478194594383
10,0.03235721653327346,0.008057676795870066,0.9781393575668335,0.0038426883518695833,22.954292404800867,0.7574401038885117
11,0.020245652981102466,0.00766930179670453,0.9859693956375122,0.0035240959422662855,22.47915717895267,0.7654264491796493
12,0.02635526716709137,0.006476425528526306,0.980732524394989,0.04437348375562578,22.995355340358067,0.7824378097057343
13,0.4300148793309927,0.006935530239716172,0.8038324558734894,0.1571099717216566,3.929347087421635,0.7673553103208541
14,0.02626229966059327,0.006981499753892422,0.9840721964836121,0.004290535277687013,23.598708142320483,0.7933385464549064
15,0.011457457728683949,0.005691533656790853,0.9928651475906372,0.003386577102355659,22.642684590674413,0.7971739408373832
16,0.2377227046061307,0.0061449786648154255,0.8818706942163408,0.11510705740191042,22.515312502248804,0.7989731648564339
17,0.023300455529242755,0.0061639356799423695,0.9848266339302063,0.0027536922926083207,7.08070463582501,0.7910112500190735
18,0.30734786045737567,0.005881627444177866,0.9681944572925567,0.31300524780526756,23.463504073012558,0.7981676828861236
19,1.0013187146186828,0.0044900128804147245,0.9857774162292481,0.9830215525627136,24.86576827731355,0.8186983218789101
20,0.9197042059898376,0.0052318708691746,0.9022673296928406,0.8049669873714447,23.271778054512986,0.8202152958512307
21,0.284515042193234,0.005713027343153954,0.8904339957237244,0.13741463446989655,24.514044416785804,0.8181524983048439
22,0.19069905871525406,0.005237221987918019,0.8982962715625763,0.04180563751608133,20.496494679076058,0.8060397252440452
23,0.01925736779347062,0.005206839563325048,0.9875488877296448,0.0037865428812801838,18.35023266777233,0.8184258607029915
24,0.011381111955270171,0.0057581508904695515,0.9937819194793701,0.002574369367212057,23.061442219340332,0.8152028983831405
